RU000A0JS264:90,09:9
RU000A0JTX09:90,48:9
RU000A0JXFC2:12:3
RU000A0JWEK0:15,75:2
RU000A0JVFE2:17,65:8
RU000A0JVVA7:11,36:1
RU000A0JW1G7:12:1
RU000A0JVVW1:12,3:2
RU000A0JVVV3:12,3:2
RU000A0JVS36:11:3
RU000A0JVQ38:17,83:3
RU000A0JVUW3:11,99:1
RU000A0JVPR3:13:1
RU000A0JVM81:11,2:1
RU000A0JUPE3:11,2:1
RU000A0JVSY3:12,43:1
RU000A0JVV49:12,73:1
RU000A0JWSQ7:12:1
RU000A0JV227:10,12:1
RU000A0JRKM3:11,07:2
RU000A0JRKD2:11,02:2
RU000A0JX3H0:13,25:2
RU000A0JRKC4:11,2:2
RU000A0JVUX1:11,55:2
RU000A0JVQY7:12,49:4
RU000A0JVQX9:12,49:4
RU000A0JVHF5:12,47:3
RU000A0JVFD4:12,47:3
RU000A0JVEQ9:12,47:3
RU000A0JWGD0:11,47:3
RU000A0JWGC2:11,47:3
RU000A0JWH87:11,47:3
RU000A0JU9K4:11:3
RU000A0JU6G8:13,57:3
RU000A0JTT13:12,57:3
RU000A0JTPG0:12,5:3
RU000A0JTZF1:13,58:3
RU000A0JWM49:13,59:3
RU000A0JW167:10,5:3
RU000A0JW175:10,5:3
RU000A0JW3A6:10,5:3
RU000A0JVKC6:18,3:3
RU000A0JREZ8:10,52:3
RU000A0JREX3:10,6:3
RU000A0JREW5:10,6:3
RU000A0JRV52:10,6:3
RU000A0JRUY7:11:3
RU000A0JXJE0:11:3
RU000A0JRJL7:10,5:3
RU000A0JRJB8:10,5:3
RU000A0JWDU1:10,3:3
RU000A0JVWT5:12:3
RU000A0JVT76:12,8:3
RU000A0JVW22:12:3
RU000A0JVUL6:12:3
RU000A0JW0S4:12,5:3
RU000A0JW5E3:12,5:3
RU000A0JWBP5:12,7:3
RU000A0JWK82:13,1:3
RU000A0JW1T0:13,7:3
RU000A0JVWN8:11,85:3
RU000A0JWBF6:11:3
RU000A0JW5H6:11:3
RU000A0JWBE9:11:3
RU000A0JWMM9:12,43:3
RU000A0JXQJ4:10,54:3
RU000A0JWLG3:11,07:3
RU000A0JX009:12:3
RU000A0JV8U4:12,5:3
RU000A0JUQ13:12:3
RU000A0JVRM0:13,8:3
RU000A0JUQ21:11:8:3
RU000A0JVLH3:13,5:3
RU000A0JXT17:12:3
RU000A0JWL32:10,4:3
RU000A0JWBH2:13:3
RU000A0JVKK9:13,5:3
RU000A0JTR72:12:3
RU000A0JTR80:11:3
RU000A0JTQB9:12:3
RU000A0JVRN8:12,3:3
RU000A0JV6D4:11:3
RU000A0JUUA1:9:3
RU000A0JUU90:11:3
RU000A0JV0U1:11:3
RU000A0JWCL2:11:3
RU000A0JWPV3:11:3
RU000A0JWUX9:11:3
RU000A0JX5W4:11:3
RU000A0JVNB2:12:3
RU000A0JVUY9:12:3
RU000A0JWGS8:12:3
RU000A0JWNB0:11:3
RU000A0JWUB5:11:3
RU000A0JVUR3:11:3
RU000A0JWMJ5:11:3
RU000A0JQK72:11:3
RU000A0JQK64:13:3
RU000A0JS6N8:13:3
RU000A0JTVJ2:13:3
RU000A0JXQ85:11:3
RU000A0JW8E7:11:3
RU000A0JW9R7:11:3
RU000A0JX0P9:11,5:3
RU000A0JXHQ8:11,5:3
RU000A0JXP45:11,5:3
RU000A0JRTN2:11,5:3
RU000A0JWG96:11:3
RU000A0JWNJ3:11:3
RU000A0JVFJ1:11:3
RU000A0JWC74:11:3
RU000A0JU153:12:3
RU000A0JVBY9:12:3
RU000A0JWMT4:11:3
RU000A0JWVM0:12:3
RU000A0JUVF8:11:3
RU000A0JUVG6:11:3
RU000A0JWPA7:11:3
RU000A0JV3L4:11:3
RU000A0JV573:11,32:3
RU000A0JVC67:12,7:3
RU000A0JVD17:10,4:3
RU000A0JWCK4:11,4:3
RU000A0JWWW7:11:3
RU000A0JWTU7:11:3
RU000A0ZYEQ9:10:3
RU000A0JUN08:13,4:3
RU000A0JRHG1:10:3
RU000A0JRHF3:10:3
RU000A0JWFE0:12,52:3
RU000A0JVHX8:11,4:3
RU000A0JVZC4:11,7:3
RU000A0JWCF4:10,6:3
RU000A0JWN63:11,05:3

